Year,Migration (% of population),Adjusted net national income per capita (annual % growth),Adjusted savings: net national savings (% of GNI),GDP per capita growth (annual %),Gini index,GNI per capita growth (annual %),"Government expenditure on education, total (% of government expenditure)","Hospital beds (per 1,000 people)",Income share held by lowest 20%,Income share held by second 20%,Income share held by third 20%,Income share held by fourth 20%,Income share held by highest 20%,"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)","Intentional homicides (per 100,000 people)","Life expectancy at birth, total (years)",Military expenditure (% of GDP),"Physicians (per 1,000 people)","Suicide mortality rate (per 100,000 population)",Trade (% of GDP),"Unemployment, total (% of total labor force) (national estimate)","Socialist Party=0, Social Democratic Party=1"
1980,0.3012703259940907,0.9,12.6,3.5,38.8,2.2,13.3,4.0,6.2,11.2,15.3,21.4,45.9,15.9,20.9,1.5,71.2,2.0,2.8,7.6,54.2,7.3,1
1981,-0.062285803729474155,-2.4,8.9,0.7,38.8,2.2,13.3,4.0,6.2,11.2,15.3,21.4,45.9,19.0,17.6,1.5,71.6,2.0,2.8,7.6,55.6,7.3,1
1982,-0.12539635954059067,-0.5,6.8,1.5,38.8,2.2,13.3,4.0,6.2,11.2,15.3,21.4,45.9,21.7,20.7,1.5,72.4,2.0,2.8,7.6,55.8,7.3,1
1986,-0.16677408172089483,11.7,11.6,4.0,38.8,2.2,13.3,4.0,6.2,11.2,15.3,21.4,45.9,12.3,20.5,1.5,73.3,1.9,2.8,7.6,54.0,8.7,1
1987,-0.20797542898920252,6.8,13.9,6.4,38.8,2.2,13.3,4.0,6.2,11.2,15.3,21.4,45.9,9.6,10.1,1.5,73.7,1.9,2.8,7.6,59.6,7.4,1
1988,-0.2277533756303888,7.5,14.0,7.6,38.8,2.2,13.3,4.0,6.2,11.2,15.3,21.4,45.9,10.1,11.2,1.5,73.7,1.9,2.8,7.6,63.2,6.0,1
1989,-0.28922538730634684,6.7,14.7,6.6,38.8,2.2,13.3,4.1,6.2,11.2,15.3,21.4,45.9,12.7,10.5,1.5,74.3,1.9,2.8,7.6,64.9,5.1,1
1990,-0.3376065713480363,7.5,13.6,4.2,38.8,2.2,13.3,4.1,6.2,11.2,15.3,21.4,45.9,13.6,13.1,1.5,74.0,1.8,2.8,7.6,65.1,4.6,1
1991,-0.3545900272433331,4.6,11.2,4.6,38.8,2.2,13.3,4.1,6.2,11.2,15.3,21.4,45.9,11.8,10.1,1.5,74.0,1.8,2.8,7.6,60.4,6.0,1
1992,-0.07648334176338112,4.5,11.7,1.2,38.8,2.2,13.3,4.0,6.2,11.2,15.3,21.4,45.9,9.6,11.4,1.4,74.3,1.8,2.9,7.6,56.3,4.0,1
1993,0.11943189316259688,-1.1,8.9,-2.2,38.8,2.2,13.3,3.9,6.2,11.2,15.3,21.4,45.9,6.8,7.4,1.4,74.5,1.8,2.9,7.6,54.2,5.3,1
1994,0.22159780413900781,2.9,7.7,0.7,38.8,2.2,13.3,3.9,6.2,11.2,15.3,21.4,45.9,5.4,7.3,1.4,74.9,1.7,2.9,7.6,57.2,6.7,1
1995,0.3005133761864942,1.0,9.2,3.9,38.8,2.2,13.3,3.9,6.2,11.2,15.3,21.4,45.9,4.2,3.4,1.1,75.3,1.7,2.9,7.6,59.9,7.1,1
2002,0.43812492016271976,1.1,1.8,0.2,38.8,1.3,15.1,3.6,6.2,11.2,15.3,21.4,45.9,3.6,4.2,1.1,77.1,1.5,3.3,12.5,62.3,4.5,1
2003,0.2706901667023463,-0.6,0.6,-1.3,38.8,-0.5,14.4,3.6,6.2,11.2,15.3,21.4,45.9,3.2,3.4,1.3,77.2,1.4,3.3,11.9,61.1,6.1,1
2004,0.16324138597411775,1.0,-0.4,1.5,38.9,1.2,14.4,3.6,6.4,11.2,15.1,21.0,46.3,2.4,2.4,1.3,77.7,1.5,3.4,10.6,63.2,6.3,1
2011,-0.22777990368986772,-1.0,-4.3,-1.6,36.3,-0.8,12.2,3.4,6.8,11.9,15.8,21.6,43.8,3.7,-0.3,1.1,80.5,1.5,4.1,12.3,73.1,12.7,1
2012,-0.356144132999025,-4.6,-4.2,-3.7,36.0,-4.2,11.0,3.4,6.4,12.1,16.2,22.1,43.2,2.8,-0.4,1.2,80.4,1.4,4.2,13.5,76.1,15.5,1
2013,-0.35053998189780433,2.3,-1.8,-0.4,36.2,1.4,11.0,3.4,6.2,12.0,16.3,22.3,43.1,0.3,2.2,1.4,80.7,1.4,4.4,12.5,78.1,16.2,1
2014,-0.2887493604018513,0.7,-2.5,1.3,35.6,1.1,10.3,3.3,6.5,12.2,16.4,22.2,42.6,-0.3,0.7,0.9,81.1,1.3,4.6,14.2,80.3,13.9,1
