Year,Migration (% of population),Adjusted net national income per capita (annual % growth),Adjusted savings: net national savings (% of GNI),GDP per capita growth (annual %),Gini index,GNI per capita growth (annual %),"Government expenditure on education, total (% of government expenditure)","Hospital beds (per 1,000 people)",Income share held by lowest 20%,Income share held by second 20%,Income share held by third 20%,Income share held by fourth 20%,Income share held by highest 20%,"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)","Intentional homicides (per 100,000 people)","Life expectancy at birth, total (years)",Military expenditure (% of GDP),"Physicians (per 1,000 people)","Suicide mortality rate (per 100,000 population)",Trade (% of GDP),"Unemployment, total (% of total labor force) (national estimate)","Socialist Party=0, Social Democratic Party=1"
1976,0.4678055668082186,3.2,3.5,3.9,38.8,2.2,13.3,4.0,6.2,11.2,15.3,21.4,45.9,21.1,16.3,1.5,68.9,2.4,1.3,7.6,37.7,6.4,0
1977,0.44559484119325166,3.0,6.5,4.5,38.8,2.2,13.3,4.0,6.2,11.2,15.3,21.4,45.9,31.0,26.4,1.5,70.0,2.1,1.5,7.6,40.5,7.9,0
1978,0.4023226008945152,-1.1,10.2,1.7,38.8,2.2,13.3,4.0,6.2,11.2,15.3,21.4,45.9,21.0,22.3,1.5,70.3,2.1,1.7,7.6,41.1,7.9,0
1979,0.38051952823983193,3.2,13.6,4.5,38.8,2.2,13.3,4.0,6.2,11.2,15.3,21.4,45.9,21.9,19.4,1.5,71.2,2.0,1.9,7.6,50.7,7.9,0
1980,0.3012703259940907,0.9,12.6,3.5,38.8,2.2,13.3,4.0,6.2,11.2,15.3,21.4,45.9,15.9,20.9,1.5,71.2,2.0,2.8,7.6,54.2,7.3,1
1981,-0.062285803729474155,-2.4,8.9,0.7,38.8,2.2,13.3,4.0,6.2,11.2,15.3,21.4,45.9,19.0,17.6,1.5,71.6,2.0,2.8,7.6,55.6,7.3,1
1982,-0.12539635954059067,-0.5,6.8,1.5,38.8,2.2,13.3,4.0,6.2,11.2,15.3,21.4,45.9,21.7,20.7,1.5,72.4,2.0,2.8,7.6,55.8,7.3,1
1983,-0.13864417724080413,1.0,6.3,-0.6,38.8,2.2,13.3,4.0,6.2,11.2,15.3,21.4,45.9,24.0,24.6,1.5,72.3,1.9,2.8,7.6,58.9,7.3,0
1984,-0.1528876080507135,-2.6,4.7,-2.3,38.8,2.2,13.3,4.0,6.2,11.2,15.3,21.4,45.9,28.4,24.7,1.5,72.5,1.9,2.8,7.6,64.4,8.2,0
1985,-0.16042119742651675,5.8,7.5,2.5,38.8,2.2,13.3,4.0,6.2,11.2,15.3,21.4,45.9,19.5,21.7,1.5,72.8,1.8,2.8,7.6,61.5,8.2,0
1986,-0.16677408172089483,11.7,11.6,4.0,38.8,2.2,13.3,4.0,6.2,11.2,15.3,21.4,45.9,12.3,20.5,1.5,73.3,1.9,2.8,7.6,54.0,8.7,1
1987,-0.20797542898920252,6.8,13.9,6.4,38.8,2.2,13.3,4.0,6.2,11.2,15.3,21.4,45.9,9.6,10.1,1.5,73.7,1.9,2.8,7.6,59.6,7.4,1
1988,-0.2277533756303888,7.5,14.0,7.6,38.8,2.2,13.3,4.0,6.2,11.2,15.3,21.4,45.9,10.1,11.2,1.5,73.7,1.9,2.8,7.6,63.2,6.0,1
1989,-0.28922538730634684,6.7,14.7,6.6,38.8,2.2,13.3,4.1,6.2,11.2,15.3,21.4,45.9,12.7,10.5,1.5,74.3,1.9,2.8,7.6,64.9,5.1,1
1990,-0.3376065713480363,7.5,13.6,4.2,38.8,2.2,13.3,4.1,6.2,11.2,15.3,21.4,45.9,13.6,13.1,1.5,74.0,1.8,2.8,7.6,65.1,4.6,1
1991,-0.3545900272433331,4.6,11.2,4.6,38.8,2.2,13.3,4.1,6.2,11.2,15.3,21.4,45.9,11.8,10.1,1.5,74.0,1.8,2.8,7.6,60.4,6.0,1
